,,,ALU Operations,REG_DST,BRANCH,MemRead,MemWrite,MemToReg,ALUOP2,ALUOP1,ALUOP0,ALUSrc,REGWRITE,BNEQ,JUMP
beq,0,0,SUB,0,1,0,0,0,0,0,1,0,1,0,0
add,1,1,ADD,1,0,0,0,0,0,0,0,0,0,0,0
nor,2,10,NOR,1,0,0,0,0,1,0,0,0,0,0,0
or,3,11,OR,1,0,0,0,0,0,1,0,0,0,0,0
addi,4,100,ADD,0,0,0,0,0,0,0,0,1,0,0,0
sll,5,101,SHIFTL,0,0,0,0,0,1,0,1,1,0,0,0
sw,6,110,ADD,0,0,0,1,0,0,0,0,1,1,0,0
sub,7,111,SUB,1,0,0,0,0,0,0,1,0,0,0,0
j,8,1000,X,0,0,0,0,0,0,0,0,0,1,0,1
and,9,1001,AND,1,0,0,0,0,0,1,1,0,0,0,0
srl,10,1010,SHIFTR,0,0,0,0,0,1,1,0,1,0,0,0
ori,11,1011,OR,0,0,0,0,0,0,1,0,1,0,0,0
bneq,12,1100,SUB,0,1,0,0,0,0,0,1,0,1,1,0
subi,13,1101,SUB,0,0,0,0,0,0,0,1,1,0,0,0
andi,14,1110,AND,0,0,0,0,0,0,1,1,1,0,0,0
lw,15,1111,ADD,0,0,1,0,1,0,0,0,1,0,0,0
